bug ID,product,summary,description,component,priority,unknown_1,unknown_2,resolution,severity
189430,SeaMonkey,chrome messenger content msgmail panewindow j warn refer undefin properti window argu ,warn refer undefin properti window argu sourc file chrome messenger content msgmail panewindow j line happen doubl click newsgroup server open mail window ,MailNews: Message Display,--,bugzillamozillaorg_serge_20140323,bugzilla bugzillamozillaorg_serge_20140323 schapel schapel bugzillamozillaorg_serge_20140323 bugzillamozillaorg_serge_20140323 bugzillamozillaorg_serge_20140323 bugzillamozillaorg_serge_20140323 neil bugzillamozillaorg_serge_20140323 bugzillamozillaorg_serge_20140323 neil bugzillamozillaorg_serge_20140323 neil ,FIXED,minor
189903,Calendar,prefer edg dialog box ,user ag mozilla window window nt en u rv gecko build identifi mozilla window window nt en u rv gecko calendar prefer page fit size prefer box righthand side crop reproduc step reproduc ,Preferences,--,mikeypotter,davti davti brant davti davti davti davti davti davti davti davti davti mikeypotter davti davti mikeypotter reed ,FIXED,minor
190215,SeaMonkey,win ca handl multi line properti account central wo show select server ,account central wo show select server consol error load accountcentr page except compon return failur ode x ns error failur nsiprefbranch getcomplexvalu nsresult x ns error failur locat js frame chrome messenger conten t mailwindow j showaccountcentr line data ,MailNews: Message Display,--,sspitzer,sspitzer sspitzer sspitzer sspitzer sspitzer sspitzer alecf sspitzer alecf sspitzer sspitzer sspitzer sspitzer sspitzer alecf alecf sspitzer sspitzer ,FIXED,critical
190317,Calendar,ad day event mini month view calendar bold event date minu day ,user ag mozilla window window nt en u rv b gecko build identifi mozilla window window nt en u rv b gecko creat multi day event refresh mini calendar result calendar think event date minu day e g th march event main window result nd march highlight bold mini calendat reproduc step reproduc add event th march date th test last day move min calendar forward backward back refresh display actual result event correct day mini calendar day minu highlight bold expect result correct date highlight bold mini calendar futur event hour display mini calendar day offend multi day event delet work fine upto includ day event calendar version mozilla calendar cal ,Sunbird Only,--,mikeypotter,mozilla mozilla reed ,FIXED,critical
190510,Calendar,load calendar affect date display mail ,user ag mozilla x linux i en u rv gecko build identifi mozilla x linux i en u rv gecko load calendar date display mail applic show utc local timezon reproduc step reproduc open mozilla mail select mailbox mail item open mozilla calendar actual result date display mozilla mail chang reflect utc valu expect result date display chang continu reflect local timezon pst case ,General,--,mostafah,rcgreenw mikeypotter mostafah reed ,FIXED,major
190512,Calendar,repeat reset current date edit recur event ,user ag mozilla x linux i en u rv gecko build identifi mozilla x linux i en u rv gecko recur event repeat specif date edit date shown box reset current date date set event save chang actual end date current date save end date reproduc step reproduc creat repeat event end specif date futur save event click ok edit event select recurr tab actual result repeat date show current date expect result repeat date date store event ,Sunbird Only,--,mikeypotter,rcgreenw mikeypotter reed ,FIXED,major
190625,Other Applications,mozilla crash quit dom inspector view stylesheet ,user ag mozilla macintosh ppc mac os en u rv gecko build identifi mozilla macintosh ppc mac os en u rv gecko stylesheet view dom inspector mozilla crash quit crash log nshashtabl free independ theme reproduc step reproduc start mozilla tool web develop dom inspector file inspect window browser window chang view stylesheet icon upper left find click icon close dom inspector window mozilla quit mozilla actual result os mozilla quit unexpectedli dialog write crash log expect result exit grace mac os crash log date tim os version build g host fatty loc command mozilla pid except exc bad access x code kern invalid address x x f thread crash x b x b x hashfreeentri void plhashentri unsign int x c pl hashtablefin plhashtabl x cc nshashtabl dt void x e cssstylesheetinn dt void x e cssstylesheetinn removesheet nsicssstylesheet x e c cssstylesheetimpl dt void x e cssstylesheetimpl releas void x d nssupportshasht releaseel nshashkey void void x e hashenumer plhashentri int void x ca pl hashtableenumerateentri x c nshashtabl enumer int nshashkey void void void x da nssupportshasht dt void x f nsxulprototypecach dt void x nsxulprototypecach releas void x f c releaseservice nsservicemanagerfpccp nsisupportsp nsishut x ff c nsxblservic dt void x ff nsxblservic releas void x e c shutdown nsimodul x d c nsgenericmodul shutdown void x f nsgenericmodul dt void x f nsgenericmodul releas void x d c nsdll shutdown void x b ba nsfreelibrari nsdll nsiservicemanag int x b dd nsfreelibraryenum nshashkey void void x e hashenumer plhashentri int void x ca pl hashtableenumerateentri x c nshashtabl enumer int nshashkey void void void x b a nsnativecomponentload unloadal int x f nscomponentmanagerimpl unloadlibrari nsiservicemanag x nscomponentmanagerimpl shutdown void x fef ns shutdownxpcom x a a main thread x c syscal x d c bsd waitev x c carbonselectthreadfunc x d pthread bodi thread x eaa semaphore wait signal trap x e c pthread cond wait x dc carbonoperationthreadfunc x d pthread bodi thread x semaphore timedwait signal trap x e b pthread cond wait x tswaitonsemaphorecommon x c timerthread x d pthread bodi thread x eaa semaphore wait signal trap x e c pthread cond wait x tswaitonsemaphorecommon x a asyncfilethread void x d pthread bodi ppc thread state srr x b srr x d vrsave x xer x lr x e f ctr x e f mq x r x dac r xbffff r x e r x a r x r x r x r x b cc r x r x r x r x r x f r x r x r x r x r x r x r x r xbffffe r xffffffff r xbffffc r x r x r x b a r x r x d bc r x r x r x d ca r x ,DOM Inspector,--,caillon,bugzilla.1.nrc wolruf bugzilla.1.nrc bugzilla.1.nrc bugzilla.1.nrc timeless dbaron bzbarsky bugmail bzbarsky bugzilla.1.nrc bzbarsky ,FIXED,critical
190642,SeaMonkey,email disappear mail folder ,user ag mozilla compat msie window nt csm mck build identifi mozilla x linux i en u rv gecko mail folder show coupl email realiti valid email folder user unix command mail f folder email show mozilla eras msf rebuild resolv problem problem persist formail reformat email understand mozilla standard mbox format mail mail show mozilla mail casual mail file text editor ca glaringli wrong format lose number email guess subtli wrong mail file screw mozilla bother unix mail suggest note problem happen mail file happi provid copi offend email file reproduc step reproduc actual result display email expect result display email ,MailNews: Message Display,--,sspitzer,jeff jeff Peter jeff ,FIXED,critical
190873,Calendar,typeerror adatastr properti ,user ag mozilla window window nt en u rv gecko build identifi mozilla window window nt en u rv gecko error publish calendar typeerror adatastr properti reproduc step reproduc chang event click publish calendar actual result calendar publish expect result publish calendar remot server ,Sunbird Only,--,mikeypotter,davti davti davti mozilla lee mikeypotter reed ,FIXED,major
191096,SeaMonkey,hit search fail pass paramet googl ,user ag mozilla window window nt en u rv b gecko build identifi mozilla window window nt en u rv b gecko set search button googl click work pass search paramet address line jump main search screen reproduc step reproduc enter search term address line hit search actual result main googl search screen expect result launch googl search search paramet address line ,Search,--,shliang,jc mozilla jc ,FIXED,major
191134,Calendar,mozilla crash close calendar window ,user ag mozilla window window nt en u rv b gecko build identifi mozilla window window nt en u rv b gecko instal calendar night home machin problem morn instal calendar crash time close calendar window reboot problem reproduc step reproduc open mozilla open calendar close calendar window actual result open calendar window calendar empti grid date month label close calendar window mozilla crash turn talkback crash send data server crash view talkback data talkback s window display data blank ,General,--,mikeypotter,mike_canann mike_canann reed ,FIXED,blocker
191217,SeaMonkey,renam show explor os ,user ag mozilla os warp en u rv b gecko build identifi mozilla os warp en u rv b gecko bug download manag work item show explor os explor bit irrit suggest call open drive folder open wp folder progress dialog download call show file locat properli creat patch patch maker run os manual diff requir file build appli diff work content communicator downloadmanager downloadmanager js orig wed jan content communicator downloadmanager downloadmanager j wed jan window settimeout onrebuild var key navigator platform indexof win navigator platform indexof os navigator platform indexof win key win navigator platform indexof os key os navigator platform indexof mac key mac locale en us communicator downloadmanager downloadmanager properties orig thu jan locale en us communicator downloadmanager downloadmanager properti thu jan showinshelllabelwin show explor showinshellaccesskeywin showinshelllabelos open drive folder showinshellaccesskeyos o showinshelllabelmac show finder showinshellaccesskeymac f reproduc step reproduc ,Download & File Handling,--,bugzilla,mozilla horkana mozilla mozilla timeless mozilla mozilla ,FIXED,trivial
191229,Other Applications,fix infinit recurs nsinspectorcssutil getstylecontextforcont ,fallout bryner s layout cont merg ,DOM Inspector,P1,bzbarsky,bzbarsky bzbarsky jst bzbarsky caillon asa bzbarsky ,FIXED,critical
191280,Calendar,delet event delet task ,user ag mozilla window window nt en u rv gecko build identifi mozilla window window nt en u rv gecko want delet calendar entri select entri delet click mous button select delet select entri pop up menu entri delet top task task list delet unselect task delet entri task delet select entri reproduc step reproduc creat task creat calendar entri select task select calendar entri attempt delet calendar entri select task delet make task select select calendar entri attempt delet calendar entri actual result step task delet calendar entri step calendar entri delet expect result calendar entri delet case ,General,--,mikeypotter,steve brant steve mikeypotter mikeypotter reed ,FIXED,critical
191442,Calendar,subscrib remot calendar contact server ,user ag mozilla x linux i en u rv gecko build identifi mozilla x linux i en u rv gecko subcrib remot calendar featur success enter remot url http host webdavdir fil calendar calendar window server contact refresh similar problem m wizard subscrib enter locat finish button calendar frozen clock cancel back work hostnam server cadav client brows directori http http work reproduc step reproduc calendar wizard subscrib fill locat remov http webdav server press finish button actual result calendar frozen server contact verifi tcpdump hostnam correct expect result calendar creat ,General,--,mikeypotter,ruda ruda mikeypotter reed ,FIXED,major
191804,Calendar,doubl click gener mous button ,user ag mozilla window winnt en gb rv gecko build identifi mozilla window winnt en gb rv gecko click part calendar interfac doubl click gener mous button left gener click left button short period time reproduc step reproduc doubl click event event list click left button quickli actual result case event edit dialog open expect result event edit dialog open doubl left click calendar cal mozilla win full instal ,Sunbird Only,--,mikeypotter,t.evans mikeypotter mikeypotter reed ,FIXED,minor
192210,Calendar,event wrong day ,user ag mozilla window win x en u rv gecko build identifi mozilla window win x en u rv gecko version cal event disappear februari month view event st januari st decemb previou version calendar made day event st month display st nd note hr gmt evnt icalshar uk singapor islam holiday reproduc step reproduc updat version ,General,--,mikeypotter,david mikeypotter mikeypotter reed ,FIXED,major
192307,SeaMonkey,browser lock hit mail button toolbar select window ,user ag mozilla window win en u rv gecko build identifi mozilla window win en u rv gecko browser mail work great month mozilla work great access mail button push browser lock mous pointer move unabl click ctrl alt del reproduc step reproduc tri access mail actual result browser lock expect result mail window amd k dfi k bv rev b mb sd ram ,MailNews: Message Display,--,sspitzer,nickb mozilla-06 nbaca nickb ,FIXED,critical
192309,Calendar,event tab edit event ,user ag mozilla window window nt en u rv gecko build identifi mozilla window window nt en u rv gecko edit event right click edit select event tab display event s event s event reproduc step reproduc creat event month view click event select edit select event actual result display event tab expect result display event tab edit event event info dunno ,Sunbird Only,--,mikeypotter,hippie hippie mikeypotter reed ,FIXED,trivial
192311,Calendar,text entri start end field ,user ag mozilla window window nt en u rv gecko build identifi mozilla window window nt en u rv gecko creat event edit event chang text version date chang effect click ok chang date calendar pick text field work reproduc step reproduc double click februari th titl meg s birthday crap s th th select start box type select end box type click ok actual result meg s birthday expect result meg s birthday calendar icon start end field work fine pick date ,Sunbird Only,--,mikeypotter,hippie hippie mikeypotter reed ,FIXED,minor
192495,Calendar,webcal protocol broken ,user ag mozilla window window nt en u rv gecko build identifi mozilla window window nt en u rv gecko subscrib remot calendar click webcal url webcal ical mac com josephfinn white sox schedule calendar ad calendar list event display calendar work releas ago reproduc step reproduc click url webcal ical mac com josephfinn white sox schedule tick display event calendar actual result event show expect result dsplay calendar event initi calendar dialog box open calendar url display webcal ical mac com josephfinn white sox schedule replca webcal http http ical mac com josephfinn white sox schedule calendar function expect ,Sunbird Only,--,mikeypotter,davti mikeypotter mikeypotter reed ,FIXED,major
192776,Calendar,dialog format issu ,user ag mozilla x linux i en u rv b gecko build identifi mozilla x linux i en u rv b gecko awhen attempt import holiday ic file abouttoimport string number entri import space show import event reproduc step reproduc tool import select ic file expect result print import event ,Sunbird Only,--,mikeypotter,kschin mikeypotter reed ,FIXED,trivial
192949,Calendar,wrong tooltip caption weekview dayview end event ,user ag mozilla window window nt en u rv b gecko build identifi mozilla window window nt en u rv b gecko file recurr event daili weekli option tooltip caption mous hover nd rd event week view dayview show end date date month view end line shown reproduc step reproduc creat event set recurr daili weekli repeat time repeat date click close new event window chose day view weekview f f hover occur event hover occur actual result hover event tooltip show titel blabla start monday mar end monday mar hover event tooltip show titel blabla start tuesday mar end monday mar line wrong expect result hover event tooltip show end tuesday mar ,Sunbird Only,--,mikeypotter,bennibock dstile mikeypotter reed ,FIXED,minor
193891,SeaMonkey,wrong messag maximum messag size set prefer ,user ag mozilla window window nt en u rv b gecko build identifi mozilla window window nt en u rv b gecko text file mime properti exact reproduc step reproduc disk space dialog mail newsgroup account set check download messag local larger kb send bigger messag bottom messag display panel actual result read messag exceed maximum messag size set prefer download line mail server expect result account set prefer ,MailNews: Message Display,--,sspitzer,tanguy.christian mcow tmeader mscott ,FIXED,trivial
193921,SeaMonkey,unabl http publish prompt password ,realiz attempt http publish trunk build prompt password publish fail silent regress mozilla ,Composer,P3,darin.moz,brade brade brade samir_bugzilla darin.moz mcs mcs darin.moz brade darin.moz mcs mcs mcs darin.moz mcs mcs darin.moz darin.moz darin.moz brant darin.moz darin.moz mcs mcs darin.moz brade darin.moz bbaetz darin.moz mcs dougt brade dougt dougt samir_bugzilla brade alecf rjesup dougt chrispetersen benc bugspam.Callek ,FIXED,major
193936,Calendar,edit calendar bring add calendar dialog detail ,user ag mozilla window window nt en u rv gecko build identifi mozilla window window nt en u rv gecko click calendar calendar tab select edit calendar add calendar dialog box open detail reproduc step reproduc select calendar tab select calendar right click edit calendar actual result blank form expect result form calendar detail ,Sunbird Only,--,mikeypotter,davti davti swaff mikeypotter mikeypotter mikeypotter reed ,FIXED,major
194488,SeaMonkey,crash click mail news articl ,user ag mozilla window window nt en u rv b gecko build identifi mozilla window window nt en u rv b gecko homemad build base st februari sourc cv updat configure in patch buildconfig data buildconfig build platform target i pc cygwin build tool compil version cl cl configur argument enable calendar enable crypto disable instal disable test disable debug enable optim enable strip reproduc step reproduc build mozilla go mailnew click mail read actual result mozilla crash vc access violat gklayout dl expect result read mail clean instal clean profil ,MailNews: Message Display,--,sspitzer,fredbezies fredbezies bernard.alleysson fredbezies bernard.alleysson dbaron fredbezies ,FIXED,blocker
194632,SeaMonkey,notif prefer self defin wav fil function ,user ag mozilla macintosh ppc mac os mach o en u rv gecko chimera build identifi mozilla macintosh ppc mac os mach o en u rv b gecko notif tab mail newsgroup prefer window select system default mail sound custom wav file brows wav file system default beep macosx stay preview prefer window sound system beep default system sound file blabla aiff result default system beep look prefs j file show correct element call mail biff play sound url file path fil result sound error dialog reproduc step reproduc open prefer mail notif enter valid path wav file actual result hear system beep expect result play wav file mail biff ,MailNews: Message Display,--,mscott,ruurd cplyon bugmail justdave justdave justdave justdave edsacks edsacks nbaca nbaca nbaca justdave edsacks justdave sspitzer senseiwa ruurd jcr ruurd jcr bugs bugs blizzard bugs david jcr edsacks david david jcr stuarth frontloader mscott mscott mscott bryner mscott mcow mscott mcow mscott mcow mscott mscott Stefan.Borggraefe mscott mscott chofmann mscott jcr Stefan.Borggraefe jcr edsacks edsacks mscott myron.krawczuk robert jon.baumgartner Stefan.Borggraefe mscott jon.baumgartner mikepinkerton jon.baumgartner mikepinkerton jon.baumgartner mozilla jon.baumgartner jcr jon.baumgartner jcr robert jcr Stefan.Borggraefe Stefan.Borggraefe wdizlgfz jon.baumgartner jcr matt mikepinkerton mikepinkerton mcow jims jon.baumgartner Stefan.Borggraefe mikepinkerton Stefan.Borggraefe peter jon.baumgartner matt sugar.waffle jpmelko artooro bugzilla bugzilla bugzilla altname34 bugzilla sugar.waffle patrick.hendriks+bugzilla altname34 patrick.hendriks+bugzilla amtor jon.baumgartner altname34 sfraser_bugs altname34 justdave justdave jon.baumgartner mscott justdave justdave altname34 jcr jpd jcr sugar.waffle sfraser_bugs jpd eshepherd jon.baumgartner ,FIXED,major
194692,SeaMonkey,preview pane incorrect charact ,user ag mozilla window window nt en u rv gecko build identifi mozilla window window nt en u rv gecko receiv mail latin portugues preview pane gibberish charact resposta sugest o data sugest gostaria foss tema de lise quest o do pre o reai de bilhet de avi o os pre o publicitado do mesmo especialment agora tap vai alterar sistema de comiss e ao operador turistico para aumentar famosa indefinida taxa tempo da pouca vergonha da taxa show resposta sugest no data sugest gostaria foss tema de an lis quest do pre os reai de bilhet de avi os pre os publicitado do mesmo especialment agora tap vai alterar sistema de comiss es ao operador turistico para aumentar famosa indefinida taxa j tempo da pouca vergonha da taxa cheer lui ferro portug reproduc step reproduc reproduc depend sender send rais receiv correctli actual result expect result problem interpret charact lenght preview pane show charact gibberish correct open window show correct ,MailNews: Message Display,--,sspitzer,lferro pascalc lferro ,FIXED,major
194920,Calendar,shortkey go menu previou turn ,user ag mozilla window window nt en u rv a gecko build identifi mozilla window window nt en u rv a gecko go menu shotkey appli previou page page realiti press page month week day page bring previou month day week reproduc step reproduc expect result menu page previou page default theme mozilla calendar ,Sunbird Only,--,mikeypotter,martinkodde mikeypotter reed ,FIXED,minor
195063,Calendar,download save link target work incorrect link ,step reproduc goto http www mozilla org projects calendar rightclick instal latest build window http www mozilla org projects calendar select save link target expect explorer window open ask xpi fil save actual messag link bee save web page remov download instal leftclick start calendar instal work seldom hear user xpi fil harddisk instal compon success problem trivial download calendar xpi fil download http www oeone com files calendar windows xpi ,General,--,mikeypotter,RainerBielefeldNG mikeypotter RainerBielefeldNG mikeypotter RainerBielefeldNG reed ,FIXED,major
195873,Calendar,subscrib remot calendar updat ,user ag mozilla x linux i en u rv b gecko build identifi mozilla x linux i en u rv b gecko mozilla calendar cal calendar cli upload subscrib remot calendar easili verifi analys tcp stream mozilla calendar serv mozilla ask calendar receiv upload file convers end reproduc step reproduc chose tool subscrib remot calendar calendar modifi e g creat calendar account icalx com check publish automat add event calendar chang exist actual result mozilla alert box an error occur calendaruploadfil typeerror js file ioservic properti calendar upload restart calendar mozilla re fetch calendar expect result upload synchron w remot calendar ,General,--,mikeypotter,td td td jussi mikeypotter reed ,FIXED,major
197043,SeaMonkey,junk mail control window close click ,user ag mozilla window window nt en u rv a gecko build identifi mozilla window window nt en u rv a gecko button junk mail controls dialog close window hit cancel close window set click cancel beleiv behavior button set close window reproduc step reproduc open mail news build click tool junk mail control click button close window actual result window close expect expect result set made close window ,MailNews: Message Display,--,sspitzer,ritting Stefan.Borggraefe Stefan.Borggraefe ritting Stefan.Borggraefe ritting seb_gauthier seb_gauthier m.r.afman sspitzer ritting sspitzer ritting sspitzer sspitzer sspitzer sspitzer sspitzer sspitzer sspitzer mozilla sspitzer ritting mozilla cmeier ,FIXED,major
197209,SeaMonkey,folderprops xul convert window class dialog dialog ,timeless point mailnew folder properti dialog window dialog lead bad side effect e g cancel button revers sidebar side custom thing http mozilla org unix customizing html patch shortli mozilla patch patch bear ,MailNews: Message Display,--,Sebastian,Sebastian Sebastian Sebastian cbiesinger Sebastian neil Sebastian Sebastian Sebastian Sebastian neil neil neil Stefan.Borggraefe Stefan.Borggraefe Stefan.Borggraefe cbiesinger ,FIXED,trivial
197666,SeaMonkey,ab edit new carddialog xul convert window class dialog dialog ,convert abnewcarddialog abeditcarddialog window dialog save hand roll function keyhandl vk enter vk escap remov depend global dialogoverlay xul cancel button show order sidebar side custom trick http mozilla org unix customizing html revers ,MailNews: Message Display,--,Sebastian,Sebastian Sebastian Sebastian Sebastian neil neil Sebastian neil Stefan.Borggraefe cbiesinger Stefan.Borggraefe ,FIXED,trivial
198104,SeaMonkey,memori leak byte block alloc nsmsgsearchofflinemail matchterm ,m memori leak function run mozilla purifi trigger search mail new interfac subject sender mlk memori leak byte block alloc nsmsgsearchofflinemail matchterm nsimsgdbhdr nsisupportsarray char const nsimsgsearchscopeterm nsimsgdatabas char const uint int int msgbase dl distribut leak block byte block byte block x b e alloc locat uint new cpp nsmsgsearchofflinemail matchterm nsimsgdbhdr nsisupportsarray char const nsimsgsearchscopeterm nsimsgdatabas char const uint int int nsmsglocalsearch cpp nsmsgsearchofflinemail matchtermsforsearch nsimsgdbhdr nsisupportsarray char const nsimsgsearchscopeterm nsimsgdatabas int nsmsglocalsearch cpp nsmsgsearchofflinemail search int nsmsglocalsearch cpp nsmsgsearchscopeterm timeslic int nsmsgsearchterm cpp nsmsgsearchsess timesliceseri int nsmsgsearchsession cpp nsmsgsearchsess timeslic int nsmsgsearchsession cpp nsmsgsearchsess timercallback nsitim void nsmsgsearchsession cpp nstimerimpl fire void nstimerimpl cpp nstimermanag firenextidletim void nstimerimpl cpp mlk memori leak byte block alloc nsmsgsearchofflinemail matchterm nsimsgdbhdr nsisupportsarray char const nsimsgsearchscopeterm nsimsgdatabas char const uint int int msgbase dl distribut leak block byte block byte block x f alloc locat uint new cpp nsmsgsearchofflinemail matchterm nsimsgdbhdr nsisupportsarray char const nsimsgsearchscopeterm nsimsgdatabas char const uint int int nsmsglocalsearch cpp nsmsgsearchofflinemail matchtermsforsearch nsimsgdbhdr nsisupportsarray char const nsimsgsearchscopeterm nsimsgdatabas int nsmsglocalsearch cpp nsmsgsearchofflinemail search int nsmsglocalsearch cpp nsmsgsearchscopeterm timeslic int nsmsgsearchterm cpp nsmsgsearchsess timesliceseri int nsmsgsearchsession cpp nsmsgsearchsess timeslic int nsmsgsearchsession cpp nsmsgsearchsess starttim void nsmsgsearchsession cpp nsmsgsearchsess searchwourl void nsmsgsearchsession cpp nsmsgsearchsess beginsearch void nsmsgsearchsession cpp mlk memori leak byte block alloc nsmsgsearchofflinemail matchterm nsimsgdbhdr nsisupportsarray char const nsimsgsearchscopeterm nsimsgdatabas char const uint int int msgbase dl distribut leak block byte block byte block x b alloc locat uint new cpp nsmsgsearchofflinemail matchterm nsimsgdbhdr nsisupportsarray char const nsimsgsearchscopeterm nsimsgdatabas char const uint int int nsmsglocalsearch cpp nsmsgsearchofflinemail matchtermsforsearch nsimsgdbhdr nsisupportsarray char const nsimsgsearchscopeterm nsimsgdatabas int nsmsglocalsearch cpp nsmsgsearchsess matchhdr nsimsgdbhdr nsimsgdatabas int nsmsgsearchsession cpp nsmsgquicksearchdbview onnewhead uint uint int nsmsgquicksearchdbview cpp nsmsgdbview onkeyad uint uint int nsidbchangelisten nsmsgdbview cpp nsmsgdatabas notifykeyaddedal uint uint int nsidbchangelisten nsmsgdatabase cpp nsmsgdatabas addnewhdrtodb nsimsgdbhdr int nsmsgdatabase cpp nsnntpnewsgrouplist parselin char uint nsnntpnewsgrouplist cpp nsnntpnewsgrouplist processxoverlin char const uint nsnntpnewsgrouplist cpp mpk potenti memori leak byte block alloc nsmsgsearchofflinemail matchterm nsimsgdbhdr nsisupportsarray char const nsimsgsearchscopeterm nsimsgdatabas char const uint int int msgbase dl distribut potenti leak block byte block byte x a alloc locat uint new cpp nsmsgsearchofflinemail matchterm nsimsgdbhdr nsisupportsarray char const nsimsgsearchscopeterm nsimsgdatabas char const uint int int nsmsglocalsearch cpp nsmsgsearchofflinemail matchtermsforsearch nsimsgdbhdr nsisupportsarray char const nsimsgsearchscopeterm nsimsgdatabas int nsmsglocalsearch cpp nsmsgsearchsess matchhdr nsimsgdbhdr nsimsgdatabas int nsmsgsearchsession cpp nsmsgquicksearchdbview onnewhead uint uint int nsmsgquicksearchdbview cpp nsmsgdbview onkeyad uint uint int nsidbchangelisten nsmsgdbview cpp nsmsgdatabas notifykeyaddedal uint uint int nsidbchangelisten nsmsgdatabase cpp nsmsgdatabas addnewhdrtodb nsimsgdbhdr int nsmsgdatabase cpp nsnntpnewsgrouplist parselin char uint nsnntpnewsgrouplist cpp nsnntpnewsgrouplist processxoverlin char const uint nsnntpnewsgrouplist cpp ,MailNews: Message Display,--,mozilla,pkwarren pkwarren sspitzer sspitzer mozilla sspitzer mozilla sspitzer myk ,FIXED,major
198214,Calendar,action e mail select event work latest version ,user ag mozilla window window nt en u rv gecko build identifi mozilla window window nt en u rv gecko click menu shortcut ctrl m effect reproduc step reproduc creat event select event tri email select event actual result expect result creat messag ic attach ,General,--,mikeypotter,stefan belhaire mikeypotter reed ,FIXED,major
198269,SeaMonkey,shortcut key download manag intuit ,user ag mozilla window win en u rv b gecko build identifi mozilla window win en u rv b gecko usabl problem download manag menu button call remov list letter word underlin incat alt r shortcut key letter word remov underlin remov logic choic cancel second c cancel underlin underlin odd choic reproduc step reproduc ,Download & File Handling,--,bugzilla,scott alexander.hirzel ,FIXED,trivial
198563,SeaMonkey,blank mail header mail window local build ,user ag mozilla window window nt cs cz rv gecko build identifi mozilla window window nt cs cz rv gecko creat czech instal window mozip ex standard procedur instal mozilla mail display mail header mail window czech languag packag correct instal english buil czech ad work fine reproduc step reproduc creat local build instal run mozilla mail news js consol error uncaught except except compon return failur code x ffff ns error unexpect nsiprefbranch getboolpref nsresult x ffff ns error unexpect locat js frame chrome messenger content msghdrviewoverlay j onloadmsgheaderpan line data line mark produc error gnumaddressestoshow pref getintpref mailnews max header display length gcollectincom pref getboolpref mail collect email address incom gcollectnewsgroup pref getboolpref mail collect email address newsgroup gcollectoutgo pref getboolpref mail collect email address outgo gshowuserag pref getboolpref mailnews headers showuserag gshoworgan pref getboolpref mailnews headers showorgan weird thing config prefer set temporari work replac gshoworgan pref getboolpref mailnews headers showorgan gshowuserag pref getboolpref mailnews headers showuserag gshoworgan true gshowuserag true bug blocker czech mozilla releas ,MailNews: Message Display,--,sspitzer,p.franc timeless bugzilla bugzilla p.franc ,FIXED,major
198579,Calendar,daylight save time problem lefthand minicalendar ,user ag mozilla window window nt en u rv gecko build identifi mozilla window window nt en u rv gecko march month day lost calendar present day day day sunday march reproduc step reproduc choos march minicalendar ,Sunbird Only,--,mikeypotter,belhaire belhaire mikeypotter belhaire mikeypotter belhaire mikeypotter belhaire mikeypotter reed ,FIXED,minor
198592,Calendar,event day view shown month multiweek view ,user ag mozilla window window nt en u rv gecko build identifi mozilla window window nt en u rv gecko event day view shown month multiweek view reproduc step reproduc select monday friday switch multiweek view add event day view actual result event ,Sunbird Only,--,mikeypotter,belhaire belhaire mikeypotter reed ,FIXED,minor
198607,Calendar,ctrl drag n drop month multiweek view broken ,user ag mozilla window window nt en u rv gecko build identifi mozilla window window nt en u rv gecko today bug fill correct day patch copi event ctrl drag n drop event gener non valid id origin box move locat restor origin place redraw reproduc step reproduc month view copi event drag n drop control key event creat origin box event move creat event procedur redraw view chang view actual result select event event select share id event uniqu fact equal expect result id uniqu box stay origin place ,Sunbird Only,--,mikeypotter,belhaire belhaire mikeypotter reed ,FIXED,minor
198663,Calendar,patch switch multiweek month s command ,user ag mozilla window window nt en u rv gecko build identifi mozilla window window nt en u rv gecko bug fix ll chang multiweek f month f multiweek f month f reproduc step reproduc ,General,--,mikeypotter,Lil46john talk charles.c.mak brant charles.c.mak brant charles.c.mak mikeypotter reed ,FIXED,trivial
198859,Calendar,time event display hour ,user ag mozilla x linux i en u rv a gecko build identifi mozilla x linux i en u rv a gecko month view mozilla startup time event shown hour time shown correctli dialog box event edit event edit requir save time month view revert correct valu reproduc step reproduc select month view calenadar creat event specif time i e last day verifi time correct month view quit mozilla restart note close calendar reopen quit mozilla time incorrect month view hour late fact time incorrect edit event e g double click note correct time appear event dialog box month view save event make time updat correct time actual result expect result ,General,--,mikeypotter,calum.mackay calum.mackay calum.mackay Mitch calum.mackay mikeypotter calum.mackay calum.mackay mikeypotter calum.mackay calum.mackay calum.mackay Mitch calum.mackay Mitch calum.mackay calum.mackay mostafah calum.mackay reed ,FIXED,major
199076,SeaMonkey,cascad make compos hang ,mozilla macintosh ppc mac os mach o rv a gecko instal cascad fresh build open compos activ cascad result s imposs creat stylesheet s imposs close cascad s imposs close compos ,Composer,--,daniel,mozilla mozilla ssu0262 jo.hermans jo.hermans mozilla ,FIXED,major
199219,Calendar,delet button modern classic ,user ag mozilla window window nt en u rv a gecko build identifi mozilla window window nt en u rv a gecko calendar delet button stop button moz modern navig redesign classic mail delet button modern icon product upper right corner reproduc step reproduc ,Sunbird Only,--,mostafah,Lil46john Lil46john brant mikeypotter bugspam.Callek mostafah reed ,FIXED,trivial
199220,Calendar,remov day left gradi mozilla org mozilla chrome calendar skin ,user ag mozilla window window nt en u rv a gecko build identifi mozilla window window nt en u rv a gecko appear mozilla org mozilla chrome calendar skin class mozilla org mozilla chrome calendar skin modern anymor remov reproduc step reproduc ,Sunbird Only,--,mikeypotter,Lil46john Lil46john mikeypotter reed ,FIXED,minor
